,given_name,surname,gender,birthdate,country_of_birth,current_country,phone_number,postcode,national_insurance_number,bank_account_number,cc_status,blood_group,avg_n_drinks_per_week,avg_n_cigret_per_week,education_level,n_countries_visited,bmi,birth_year,age,age_groups,smoking_status,level of drinking_status,level of bmi,countries_visited,continent_of_birth,NI_enc,hash,postcode_split
35,Adam,Thompson,M,1984-02-09,Egypt,United Kingdom,(07700) 900 408,S0B 4EY,ZZ384331T,94535743,0,O+,2.7,65.7,secondary,16,19.31,1984,39,30-40,intermediate smokers,low,healthy,2-18,Africa,b'ZZ384331T',49ef31dfdf9477f621ecf226644b6788f2246970,S0B
36,Iain,Thompson,M,1956-12-11,Mexico,United Kingdom,+447700900559,BB2P 2WD,ZZ 37 93 32 T,46599274,0,A+,3.8,90.6,masters,5,23.97,1956,67,60-70,intermediate smokers,low,healthy,2-18,North America,b'ZZ 37 93 32 T',52df9ee49251fbe91d350227bc4b41842f2a0bce,BB2P
37,Michelle,Richards,F,1957-08-29,Mali,United Kingdom,+44(0)7700 900 577,AL3 7UX,ZZ142963T,64603058,0,A-,5.9,136.4,secondary,11,35.13,1957,65,60-70,intermediate smokers,moderate,overweight,2-18,Africa,b'ZZ142963T',70b4e7a568855c01d8588b7336d1afddc0b9d5ec,AL3
38,Harry,Ward,M,1985-11-29,Paraguay,United Kingdom,+44(0)7700900345,CW4A 9XB,ZZ 250700 T,40035103,0,B-,3.1,288.8,other,33,41.38,1985,37,30-40,heavy smokers,low,overweight,19-34,South America,b'ZZ 250700 T',9b589b78c79ab976ba8fc604267dd44fadf9024f,CW4A
39,Kyle,Page,M,1984-08-26,Burkina Faso,United Kingdom,(07700) 900 762,HA2 6RA,ZZ488709T,26620820,0,O+,2.8,64.4,secondary,48,23.05,1984,38,30-40,intermediate smokers,low,healthy,35-50,Africa,b'ZZ488709T',f7118fc4a3a9b2451337856c815243f6a78a4de6,HA2
40,Graeme,Taylor,M,1990-11-11,Tajikistan,United Kingdom,+44(0)7700900215,G30 8GD,ZZ919729T,100456004,0,O+,4.6,362.1,secondary,45,25.21,1990,33,30-40,heavy smokers,moderate,overweight,35-50,Asia,b'ZZ919729T',45402f90d6f4ee7d122993f67ade8c2aa0219ac4,G30
41,Rachael,Archer,F,1975-10-23,Paraguay,United Kingdom,07700900738,CW6 4UR,ZZ 48 48 70 T,99840763,0,O+,2.4,80.3,masters,48,16.45,1975,47,40-50,intermediate smokers,low,underweight,35-50,South America,b'ZZ 48 48 70 T',b8901a71293f779f38469556910bad5a019c75f9,CW6
42,Darren,Ahmed,M,1989-08-23,Austria,United Kingdom,07700 900 404,SL9Y 3WW,ZZ643195T,49852251,0,O-,5.8,410.4,other,41,32.56,1989,33,30-40,heavy smokers,moderate,overweight,35-50,Europe,b'ZZ643195T',f0d886f32b7f0bd58c260879e1764a412e1d3c52,SL9Y
43,Christopher,Grant,M,1959-05-18,Monaco,United Kingdom,07700900554,GY5R 9SG,ZZ 29 07 25 T,17493189,0,B+,2.6,424.5,primary,48,29.37,1959,63,60-70,heavy smokers,low,overweight,35-50,Europe,b'ZZ 29 07 25 T',62da9ef2dfaf02d9244cbe9a9b5f9e9d550c8250,GY5R
44,Phillip,White,M,1967-09-20,Malta,United Kingdom,07700900129,S6 4NA,ZZ448885T,63620825,0,A-,9.3,49.8,other,44,15.83,1967,55,50-60,intermediate smokers,high,underweight,35-50,Europe,b'ZZ448885T',c0798ef4bc59044d8e26c3f9d1483817e359aafa,S6
45,Mohamed,Harrison,M,1994-03-22,Hungary,United Kingdom,(07700)900708,RH93 5WG,ZZ 357039 T,44261973,0,A+,0.2,214.4,secondary,14,15.99,1994,28,20-30,heavy smokers,low,underweight,2-18,Europe,b'ZZ 357039 T',3a69c535d9f7b7983263d8804dd0adaf70cb3ba6,RH93
46,Terence,Reid,M,1986-06-28,Tonga,United Kingdom,+447700900132,BR66 4SQ,ZZ 514070 T,53666608,0,A+,6.2,487.1,other,22,21.88,1986,36,30-40,heavy smokers,moderate,healthy,19-34,Oceania,b'ZZ 514070 T',bdd9f6c10746765ca4512f4b96e2ddc378370fa6,BR66
47,Iain,Hall,M,1994-08-06,Brunei Darussalam,United Kingdom,+44(0)7700 900 450,LN82 1YQ,ZZ013187T,15056243,0,A+,7.8,144.2,secondary,34,16.89,1994,29,20-30,intermediate smokers,high,underweight,19-34,Asia,b'ZZ013187T',e6c9b80c59da017ea49ecb61d1cd6d8cdbafb988,LN82
48,Dennis,Davies,M,1996-06-04,Cameroon,United Kingdom,+447700 900 480,G27 8BX,ZZ 625911 T,92434545,0,O+,2.9,353.3,secondary,19,25.2,1996,27,20-30,heavy smokers,low,overweight,19-34,Africa,b'ZZ 625911 T',63a46f9fe396e363778bdecfdf8f639f7052da58,G27
49,Danielle,Weston,F,1986-12-14,United States of America,United Kingdom,07700900782,G8 5DH,ZZ 793782 T,125278089,0,A+,8.1,492.7,other,45,16.02,1986,36,30-40,heavy smokers,high,underweight,35-50,North America,b'ZZ 793782 T',f61dc529fe3f3289bcca529642695afd8016e9cd,G8
50,Luke,Perry,M,1979-04-04,Afghanistan,United Kingdom,07700 900169,OL7 6WQ,ZZ 125022 T,15930602,1,O-,2.3,344.9,secondary,37,24.02,1979,44,40-50,heavy smokers,low,healthy,35-50,Asia,b'ZZ 125022 T',af7e4e72818919770b45b4b642311b1e77026564,OL7
51,Geraldine,Kemp,F,1982-05-25,United States,United Kingdom,07700 900 925,S0 5ZZ,ZZ497620T,84361516,0,O+,2.4,85.9,secondary,17,22.71,1982,40,30-40,intermediate smokers,low,healthy,2-18,North America,b'ZZ497620T',15eca0f2a513fd099e4215aea2c9facd6c991c5e,S0
52,Helen,Payne,F,1957-05-05,Christmas Island,United Kingdom,+447700 900 905,TQ87 1BX,ZZ408115T,61702842,0,O+,8.7,470.1,masters,36,17.44,1957,66,60-70,heavy smokers,high,underweight,35-50,Asia,b'ZZ408115T',15ced5857b45579e15369a91dc9858d93fced86a,TQ87
53,Karen,Savage,F,1978-11-14,Cayman Islands,United Kingdom,+447700900222,L95 7RB,ZZ 34 52 35 T,42675927,1,A+,1.5,208.7,secondary,31,31.06,1978,44,40-50,heavy smokers,low,overweight,19-34,North America,b'ZZ 34 52 35 T',9613936633b67752197640ecafdb5bfc5b0792b4,L95
54,Alex,Armstrong,M,1956-10-21,Central African Republic,United Kingdom,+44(0)7700 900 062,B05 0BE,ZZ 922606 T,79532583,0,A+,5.9,448.4,secondary,28,32.71,1956,66,60-70,heavy smokers,moderate,overweight,19-34,Africa,b'ZZ 922606 T',668e619e127faf823381ad6d938874b7177d0ee3,B05
55,Raymond,Ashton,M,1960-11-10,Bulgaria,United Kingdom,+447700 900 951,YO63 6JR,ZZ 76 91 44 T,95809973,0,B-,3.1,186.5,secondary,38,25.43,1960,63,60-70,heavy smokers,low,overweight,35-50,Europe,b'ZZ 76 91 44 T',cefd1bee3b8dd24ecf4cfbccc0659c80181bb90d,YO63
56,Terence,White,M,1997-06-19,Gibraltar,United Kingdom,+447700 900 180,S06 6ET,ZZ 722576 T,39481551,0,A+,4.5,52.3,secondary,38,44.55,1997,25,20-30,intermediate smokers,moderate,overweight,35-50,Europe,b'ZZ 722576 T',1d617eced42b83e83dc830bdeb90a19f3856aace,S06
57,Rachel,Johnson,F,1988-01-21,Niue,United Kingdom,+447700900034,N46 4XS,ZZ 64 63 52 T,31952062,0,A+,6.8,439.6,secondary,16,35.15,1988,34,30-40,heavy smokers,moderate,overweight,2-18,Oceania,b'ZZ 64 63 52 T',465362e36fbd994016c6ea0986784469213a3f34,N46
58,Gerard,Matthews,M,1961-01-27,Norway,United Kingdom,+44(0)7700900168,NR2E 3GJ,ZZ 82 75 94 T,125164258,0,O+,9.2,44.7,secondary,3,13.53,1961,61,60-70,intermediate smokers,high,underweight,2-18,Europe,b'ZZ 82 75 94 T',7875adda1461b6df36d23a227bad7f60f6ccf64d,NR2E
59,Terry,Knight,M,1978-06-20,Marshall Islands,United Kingdom,+44(0)7700900268,EC6 6UW,ZZ661220T,109813994,0,A+,5.8,347.6,bachelor,48,22.68,1978,44,40-50,heavy smokers,moderate,healthy,35-50,Oceania,b'ZZ661220T',f7092328f3bd51befa3c71ef75b86f88a64e0664,EC6
60,Douglas,Griffiths,M,2002-09-29,Saint Martin,United Kingdom,+44(0)7700 900 261,B1 7PE,ZZ 759473 T,38818206,0,AB+,0.2,348.2,masters,26,24.16,2002,20,<20,heavy smokers,low,healthy,19-34,North America,b'ZZ 759473 T',21949532d6c3e8781b52694f67c4b1143e883def,B1
61,Danny,Baker,M,1991-01-30,Ireland,United Kingdom,+44(0)7700 900 376,BA9 6GT,ZZ 061965 T,48707912,0,B-,6.9,45.4,secondary,22,14.81,1991,31,30-40,intermediate smokers,moderate,underweight,19-34,Europe,b'ZZ 061965 T',d03943a20db8cd60ff73e81dd4a999e7d61c835a,BA9
62,Wendy,Lee,F,1989-04-02,Mexico,United Kingdom,+44(0)7700 900674,L85 4ZF,ZZ117696T,91473141,0,AB+,8.7,251.4,other,28,34.33,1989,34,30-40,heavy smokers,high,overweight,19-34,North America,b'ZZ117696T',d32046097f7ccb8088e717134c794e6f3762d833,L85
63,Rachel,Evans,F,1962-04-19,Burundi,United Kingdom,+44(0)7700 900029,L0A 8ZU,ZZ 178551 T,110337443,0,A+,1.7,194.6,other,16,25.75,1962,60,50-60,heavy smokers,low,overweight,2-18,Africa,b'ZZ 178551 T',7bb225310081e36424258b9cfba4d9b1f13acd95,L0A
64,Nathan,Bailey,M,1980-01-15,Yemen,United Kingdom,+447700900511,OX6 5RF,ZZ 43 75 46 T,102165872,0,A+,6.6,220.1,secondary,35,17.0,1980,42,40-50,heavy smokers,moderate,underweight,35-50,Asia,b'ZZ 43 75 46 T',0437cd2b077ff88cb7d9211bbe4474136bf9a80e,OX6
65,Geoffrey,Lynch,M,1981-05-03,Niue,United Kingdom,(07700)900645,TD41 4ET,ZZ 53 25 73 T,26678791,0,O-,7.4,449.0,bachelor,27,18.76,1981,42,40-50,heavy smokers,high,healthy,19-34,Oceania,b'ZZ 53 25 73 T',c284524b9236bae713a0d5a963e80de6d0ef9dfc,TD41
66,Dylan,Quinn,M,1983-01-23,Macao,United Kingdom,(07700) 900735,B1H 6JS,ZZ 90 61 43 T,125212508,1,A-,9.8,87.3,secondary,35,20.73,1983,39,30-40,intermediate smokers,high,healthy,35-50,Asia,b'ZZ 90 61 43 T',11e3f1027e7291a723d8875d1a2a99d58d4f3178,B1H
67,Connor,Watson,M,1956-06-10,Hong Kong,United Kingdom,+447700900021,L1T 3AW,ZZ 618233 T,76706367,0,A+,5.1,184.0,secondary,18,26.78,1956,67,60-70,heavy smokers,moderate,overweight,2-18,Asia,b'ZZ 618233 T',893c7da744eeba0485c87b5bef0093271bab2738,L1T
68,Nicola,Richards,F,1974-03-20,Heard Island and McDonald Islands,United Kingdom,+44(0)7700 900 555,LE2W 4EE,ZZ029263T,105368812,0,O+,6.6,198.6,other,19,15.93,1974,48,40-50,heavy smokers,moderate,underweight,19-34,Antarctica,b'ZZ029263T',e8cd9010710c030acdcd652c91841a8d8e23e75d,LE2W
69,Heather,Webb,F,1988-03-09,British Virgin Islands,United Kingdom,+447700900772,NR52 4RD,ZZ 853735 T,86070863,0,O+,7.6,349.1,secondary,9,22.17,1988,35,30-40,heavy smokers,high,healthy,2-18,North America,b'ZZ 853735 T',d498ca10a3b6b36500c9a54f4a9d0ae3b53b8f19,NR52
70,Francis,Wilson,M,1972-04-17,El Salvador,United Kingdom,+447700 900723,GL57 8DH,ZZ810250T,69276367,0,O+,9.6,58.7,secondary,30,21.58,1972,50,40-50,intermediate smokers,high,healthy,19-34,North America,b'ZZ810250T',c3bebe21c50da7f2227084cad3fd638c0c3794b2,GL57
71,Rachael,Lucas,F,1982-06-28,Australia,United Kingdom,(07700)900835,S29 9HZ,ZZ037958T,123000233,0,A-,3.8,73.9,bachelor,34,24.19,1982,40,30-40,intermediate smokers,low,healthy,19-34,Oceania,b'ZZ037958T',4666a504e89e57907c18bb33f1dcf5fb58547ba6,S29
72,Melissa,Cameron,F,1997-05-25,Czech Republic,United Kingdom,+44(0)7700 900186,RH4X 7HG,ZZ857675T,81231267,0,A+,1.7,429.8,secondary,25,22.01,1997,25,20-30,heavy smokers,low,healthy,19-34,Europe,b'ZZ857675T',64b5f5f313d3f2b8a0909fcdc6d0cc5c7ea080ad,RH4X
73,Dale,Walters,M,1970-03-08,Uganda,United Kingdom,(07700)900006,E69 8HA,ZZ 287468 T,91197032,0,O+,1.2,135.6,secondary,21,36.25,1970,53,50-60,intermediate smokers,low,overweight,19-34,Africa,b'ZZ 287468 T',18a90137066559722bce3bd9cd2b73f0ffd4db00,E69
74,Anna,Richards,F,1980-05-22,Georgia,United Kingdom,07700 900039,N2 4EY,ZZ436685T,49410253,0,A-,4.3,307.3,secondary,41,25.69,1980,42,40-50,heavy smokers,moderate,overweight,35-50,Asia,b'ZZ436685T',b42882f3902fd6224e76d88c3cde606272321e45,N2
75,Aimee,Jackson,F,1988-11-23,Bahrain,United Kingdom,+447700900765,SS01 9FF,ZZ 16 30 44 T,71545934,0,A-,4.1,160.5,primary,37,32.35,1988,34,30-40,intermediate smokers,moderate,overweight,35-50,Asia,b'ZZ 16 30 44 T',851465ac6bbe42dbb5ee9e75fe9ca6b1b6d8a009,SS01
76,Mathew,Freeman,M,1978-12-10,Malawi,United Kingdom,+447700900027,M5 5EZ,ZZ 614918 T,29270837,0,O-,1.0,433.6,primary,28,25.47,1978,45,40-50,heavy smokers,low,overweight,19-34,Africa,b'ZZ 614918 T',87d61b4e6180ecef984d055646788ccb605be232,M5
77,Kyle,Glover,M,1970-08-27,Christmas Island,United Kingdom,+44(0)7700900363,W5C 5XH,ZZ 75 24 80 T,25450198,0,A+,5.2,421.4,secondary,13,25.74,1970,52,50-60,heavy smokers,moderate,overweight,2-18,Asia,b'ZZ 75 24 80 T',925f94370225c89dc2b43b69a023f23308060076,W5C
78,Thomas,Harris,M,1963-09-10,Chad,United Kingdom,+44(0)7700900438,N7B 8XS,ZZ 19 75 24 T,46400046,0,A+,0.7,32.8,phD,10,23.18,1963,60,50-60,light smokers,low,healthy,2-18,Africa,b'ZZ 19 75 24 T',f5a065cb6575da9c148d21c0f6192c0acb00cdfa,N7B
79,Lisa,Taylor,F,2000-11-19,Germany,United Kingdom,(07700)900840,EH8E 9BR,ZZ493458T,87165285,0,A+,4.3,264.1,secondary,40,29.14,2000,22,20-30,heavy smokers,moderate,overweight,35-50,Europe,b'ZZ493458T',4ebfcd5555a75655852711abb9b855a87ef88754,EH8E
80,Margaret,Wilson,F,1988-05-15,Hungary,United Kingdom,07700 900 314,G2 0QW,ZZ183744T,76702853,0,A-,8.8,345.4,other,38,9.8,1988,34,30-40,heavy smokers,high,underweight,35-50,Europe,b'ZZ183744T',322043a67926a754b4cd6e19e641983fcde64d77,G2
81,Oliver,Smith,M,1970-12-13,South Georgia and the South Sandwich Islands,United Kingdom,(07700) 900228,NP0 3SG,ZZ 82 92 38 T,50730621,0,A+,5.0,340.9,secondary,27,22.67,1970,52,50-60,heavy smokers,moderate,healthy,19-34,South America,b'ZZ 82 92 38 T',5d36bd9f3a4cb38d11677c6415fdc3b7c2445ef5,NP0
82,Karl,Lowe,M,1970-05-08,Hungary,United Kingdom,+447700900871,E80 0JR,ZZ465641T,39330084,0,A+,1.8,306.4,secondary,44,9.69,1970,53,50-60,heavy smokers,low,underweight,35-50,Europe,b'ZZ465641T',e6cce84dcbf77bb2e8d6e1a078975b064ddf278c,E80
83,Janet,Marshall,F,1972-10-31,South Korea,United Kingdom,+44(0)7700900298,AL9 5QQ,ZZ842073T,106574728,1,O+,9.3,260.4,secondary,44,27.24,1972,50,40-50,heavy smokers,high,overweight,35-50,Asia,b'ZZ842073T',b726dabff17af585859a03c4497843f2ba77ca1d,AL9
84,Frank,Little,M,2003-08-05,United States,United Kingdom,(07700)900596,PA68 9JH,ZZ348282T,108887549,0,O+,4.6,222.3,secondary,44,20.21,2003,20,<20,heavy smokers,moderate,healthy,35-50,North America,b'ZZ348282T',20eeecc3d0f3bf95609d26f85709b650724657cc,PA68
